,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
38,0.02,5,0.0064768861740281646,0.0848852717841702,0.006183122721470069,0.01319070973205105,0.00800142439362065,0.11677066280676014,0.008734553458328749,0.014037029800965082,2
39,0.04,5,0.009671391694062092,0.136968770745452,0.006910488765629106,0.015582405273366557,0.01180103137607769,0.16010866200348947,0.010269450664460047,0.01709459775035643,0
40,0.04,5,0.011166472196689831,0.07911993085699007,0.008618649140710472,0.017883671120509044,0.0148146679258965,0.10565505068991397,0.013651096513708145,0.022642676420266305,1
41,0.04,5,0.01588192758646186,0.19840571512522284,0.012058820744451254,0.020481577796313197,0.018280289138714368,0.22711338310948634,0.016391565820302247,0.025439048214176856,2
42,0.06,5,0.08412054632199742,0.22906888810811554,0.010502426168207034,0.008649069501542438,0.09364306968761028,0.23817144274139643,0.011900843227100838,0.010488373677067862,0
43,0.06,5,0.007958369776550112,0.18932590957006593,0.012719123588739095,0.023055890314892937,0.009013900272226351,0.23198571364385775,0.01674605947369949,0.026168433122781155,1
44,0.06,5,0.032284982542326125,0.4913902267225334,0.009192529276154347,0.016967294351831686,0.05287096001872662,0.5352778767261176,0.012299393146624864,0.01949681499429449,2
45,0.08,5,0.018995913650079986,0.06766950344359467,0.022005551144012637,0.03715893480007982,0.0238994357618694,0.09624081943785402,0.02800609869409658,0.04034024448828871,0
46,0.08,5,0.02210824007758511,0.09548152379139865,0.009999950919238486,0.009028333806338315,0.032171129378660755,0.102838617644055,0.011376545792087606,0.010538761115692694,1
47,0.08,5,0.01319282167134203,0.2214029085540853,0.01210072761234376,0.018629313681543545,0.01556229374998183,0.2853088130903939,0.014845180064089237,0.021467053386376334,2
48,0.1,5,0.028250629009827204,0.08918674957308659,0.024557822924166424,0.024582627984176344,0.033983510613843824,0.09175780024391206,0.0293239207926571,0.030638722192815042,0
49,0.1,5,0.04232209752561259,0.7127207709034992,0.0352936143988467,0.05876329016065642,0.0498149751759409,0.7996824620360229,0.043322113108324706,0.06318550602977752,1
50,0.1,5,0.11177620433027385,0.04726714579786224,0.021055975283176865,0.02849284929096151,0.1255362257613411,0.05296303793713191,0.0248929266153456,0.03271876338437346,2
51,0.12,5,0.0263800302833947,0.03283208517633271,0.02234454642490608,0.037511531408465894,0.03030687413598787,0.040518240689043146,0.028419799826329004,0.04070086737550017,0
52,0.12,5,0.025366169561125324,0.09698900329122993,0.027253535988977742,0.04879969936574614,0.031774369241968484,0.12085200133469981,0.03373663614347808,0.05199600985751648,1
53,0.12,5,0.016416044705044718,0.2718730698223915,0.020610717299022894,0.029338354209041066,0.018582279846946284,0.3273509263143821,0.024434068221448994,0.03331914593695022,2
54,0.14,5,0.13826728862088752,0.02900471221242263,0.07139122486543555,0.08270957155888088,0.15449016264767412,0.032597062623732444,0.07944035588042911,0.08623519823431355,0
55,0.14,5,0.01939015501920564,0.0980387944607098,0.036087261299341825,0.051903901581171606,0.024800746421669035,0.10068605366463426,0.04127370848662245,0.05565130431057723,1
56,0.14,5,0.01396322807515214,0.07677417251226909,0.020055380270755187,0.033522549218840875,0.015937090836137292,0.10882362124692828,0.02481432899352335,0.03683276735517487,2
