,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
78,0.08,7,0.008824039182580136,0.0804173112549034,0.021561883191207613,0.012030152903807791,0.010794060198548876,0.08920018255767512,0.02750144507372488,0.013479519205276439,7,0
79,0.08,7,0.019801499846922713,0.045262128710881644,0.021123221143832756,0.012605936037707141,0.023569775391646737,0.058590428322321086,0.03266651021360705,0.014705525418518207,7,1
80,0.08,7,0.03169497814488721,0.14935401679661656,0.018112110377892614,0.0910941374149526,0.0357070481046871,0.17023082348437735,0.022746366511925742,0.09831808524154023,7,2
81,0.1,7,0.026096704446550486,0.1810229216333704,0.02239093336267515,0.01686466683463973,0.02990870518114005,0.19818433535687077,0.029746213603376124,0.021901888091385015,7,0
82,0.1,7,0.010546966946750832,0.08513181128636886,0.02118623551826587,0.010781828154331633,0.012003718401843779,0.0976300024737699,0.027926304810072303,0.012980882238957573,7,1
83,0.1,7,0.03483568921085845,0.23536482288046776,0.015341382316999913,0.027065227216925742,0.044141550982852176,0.24933570929829202,0.017974836126677832,0.035335904023681884,7,2
84,0.12,7,0.05472211742562598,0.13683804228350901,0.0279036904459606,0.07196357906351308,0.0589144772405964,0.1462045009057708,0.034346264576242964,0.08554110831489772,7,0
85,0.12,7,0.05036396352455823,0.3883024006447765,0.0783741170787829,0.21333900134394557,0.06789039699346952,0.4057517023016359,0.08934519184319205,0.21422001765575932,7,1
86,0.12,7,0.02168692257000031,0.21057112157344982,0.025930424331916866,0.038918177012615164,0.02876274508300059,0.22634365798821296,0.029481933836908784,0.03958241362931461,7,2
87,0.14,7,0.03267406291946511,0.19049671267594584,0.02305912123784072,0.014030213485184798,0.04487126470220657,0.19934893069611612,0.03809811061345106,0.017081093898439165,7,0
88,0.14,7,0.03967160745286802,0.2928117472762372,0.08089445133989068,0.1937615014190911,0.052385205264438905,0.30516077382583606,0.08961256639425814,0.1947311117982493,7,1
