,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
192,0.12,tanh,0.07893494128094501,0.5186208161222028,0.07756616731808345,0.47035299456222507,0.1277218933586723,0.5219484440012002,0.09424086583854938,0.4873969514336363,2,1
193,0.12,tanh,0.07526528652105616,0.3279508089131372,0.041108718661294334,5.385863428682237,0.10555606653767753,0.32878943270149885,0.05717389861489202,8.414463960933585,3,1
194,0.12,tanh,0.04480708400309113,0.04805492877609381,0.0186349442599593,0.07918828725147728,0.0665182927412397,0.04897143715586079,0.031258733577945605,0.07973945026177054,4,1
195,0.12,tanh,0.03510577797135851,0.07723080067936625,0.02456812452077282,0.11352845527856446,0.04824418594949052,0.09932232185775497,0.038066313706796855,0.11964308520923987,5,1
196,0.12,tanh,0.07235161737550878,0.236513130245483,0.027874557438588243,0.08548942242601329,0.0869298220920045,0.23832034632513957,0.047885152082405215,0.09170003473755603,6,1
197,0.12,tanh,0.03772191055546146,0.01465257724219029,0.058247269786190596,0.10036330131666038,0.05679244003411838,0.01998929800078879,0.0657537274744234,0.12374855215839689,7,1
198,0.12,tanh,0.07424587516943898,0.42101561643270174,0.03627552539470694,0.9003357528313768,0.11180592197879663,0.42316941741977,0.04505420731090822,1.1208460982054398,8,1
199,0.12,tanh,0.062407721716423836,0.19651831570882639,0.07173320129939895,0.8353375595043646,0.08226346699743385,0.20134321427066643,0.08027826796435139,0.9582209513078646,9,1
200,0.12,tanh,0.0420801783735929,0.01202184469677265,0.0365485029558003,0.009734427875509695,0.050312723013311966,0.013770102133197805,0.04692377288388271,0.010869122637672347,0,2
201,0.12,tanh,0.035489889877902775,0.14611668376449394,0.09289749644251583,0.039074560545494866,0.046894226347556925,0.1596302871943911,0.1083088784212284,0.04533747708796913,1,2
202,0.12,tanh,0.0788257150747989,0.5335789551503792,0.07756616721281212,0.4703529934255615,0.1291124044213071,0.5372915976478728,0.09424086570220443,0.48739695030283015,2,2
203,0.12,tanh,0.07422089214411516,0.3127630346893037,0.030874760747563394,0.3380853351122454,0.10263380673380929,0.3137491942788853,0.034084622352159734,0.4022578329908691,3,2
204,0.12,tanh,0.04338056188441617,0.01941627803944679,0.03258450875221288,0.01586733040628271,0.06696119333714436,0.021213714635330116,0.04964155888106536,0.01842203129242995,4,2
205,0.12,tanh,0.030851697853025883,0.05821152642459192,0.026448425953006262,0.06845800412566361,0.04225230915904113,0.06608388878805703,0.03790534285083932,0.08125488700694795,5,2
206,0.12,tanh,0.07890209302632718,0.30124210255550027,0.035692933220290685,0.16571260055516135,0.10809976103775198,0.3028916367977365,0.047363872388173106,0.1726799845980798,6,2
207,0.12,tanh,0.07775183887631837,0.012642786543870407,0.05824726992169109,0.10036330134103207,0.09969146817745671,0.017545197413122875,0.0657537275058626,0.12374855226197545,7,2
208,0.12,tanh,0.051047494899503325,0.3589216283539334,0.036275527686438234,0.9003354220786929,0.08309649098861192,0.3618833225121276,0.04505421599979521,1.1208456983223436,8,2
209,0.12,tanh,0.07681054981412781,0.24135278620586076,0.07173320138019351,0.8353375538988174,0.10278187876734808,0.2451052157543378,0.08027826818564245,0.9582209456256856,9,2
210,0.14,tanh,0.05977500445966102,0.0860833145370755,0.05464138494927222,0.03330109070203186,0.07006669596317398,0.08664548667754061,0.0680571613908064,0.034694154682533236,0,0
211,0.14,tanh,0.05030343157396877,0.06765398910929277,0.14057609964021486,0.32659563758178245,0.05912406314715718,0.06865460048796937,0.17034716559913388,0.3269177958929893,1,0
212,0.14,tanh,0.04880092457547678,0.2655425987629793,0.08500748034134563,0.21787735411088144,0.06445190813197324,0.26998676983985476,0.10432972576058394,0.23057743895510757,2,0
213,0.14,tanh,0.04230105245344027,0.03030340194659112,0.029949802014389383,0.3320069277002448,0.05293702883300158,0.03894201640118689,0.033173771715865774,0.39614563674102,3,0
214,0.14,tanh,0.07907814671881598,0.009412349620076811,0.026527338240260104,0.015865793023875273,0.12205900257845693,0.011671904062965758,0.04151562363585514,0.018419473054259904,4,0
215,0.14,tanh,0.13087977846033658,0.11666779698771367,0.024042047509444588,0.1260226902006464,0.2072361615009969,0.1394115197626947,0.03770735966684391,0.13253353564074621,5,0
216,0.14,tanh,0.08677095797203437,0.36515808924199944,0.04888551726230958,0.2751938980305195,0.1204692738185404,0.3675326957825884,0.07396828675957735,0.2767718425751722,6,0
217,0.14,tanh,0.05273798574325735,0.016126067529189724,0.09193085221460003,0.01186245698234835,0.08744149407990813,0.019727536445761598,0.11215634830735828,0.016829161182244548,7,0
218,0.14,tanh,0.04862187063210026,0.12649706267580174,0.03626829990387555,1.3943738771959049,0.07516452566437459,0.13119894060444798,0.044534010454944636,1.7003058737216292,8,0
